iter	MultiClass
208	0.6183398228
209	0.6141801269
210	0.6115439724
211	0.6090716477
212	0.6058049472
213	0.6026373611
214	0.5999706665
215	0.597383453
216	0.5939434886
217	0.5906010272
218	0.5869971485
219	0.5847531609
220	0.5813606517
221	0.5780449689
222	0.5750929177
223	0.5723420498
224	0.5701655039
225	0.5669542111
226	0.564614191
227	0.5613297938
228	0.5585580695
229	0.555954579
230	0.552900255
231	0.5495190991
232	0.5461201086
233	0.5434580857
234	0.5403922379
235	0.5375625063
236	0.5347290586
237	0.532288478
238	0.5299327248
239	0.5272088234
240	0.524466488
241	0.5214008276
242	0.5183864313
243	0.5160500705
244	0.5134195023
245	0.5109108732
246	0.5083189333
247	0.5053025026
248	0.5026968326
249	0.5003239446
250	0.4978164489
251	0.4956589196
252	0.4933320785
253	0.4909065923
254	0.4886961656
255	0.4860163607
256	0.4840209468
257	0.4818716038
258	0.479626047
259	0.4774528429
260	0.4753447557
261	0.4731740857
262	0.4708061001
263	0.4682756875
264	0.4663080127
265	0.4642284306
266	0.4619096848
267	0.4593453441
268	0.4577385145
269	0.4554873728
270	0.4533279953
271	0.4515136761
272	0.4498429018
273	0.4475485547
274	0.4456946187
275	0.4435313532
276	0.4413471573
277	0.439427398
278	0.4375708533
279	0.4355505489
280	0.4336272933
281	0.4315539846
282	0.4295253001
283	0.428045874
284	0.4259478556
285	0.4247244204
286	0.4227634512
287	0.4206737302
288	0.4189876635
289	0.4171643926
290	0.4153490897
291	0.4139423422
292	0.4120911279
293	0.4102020179
294	0.4083287125
295	0.4063327178
296	0.4045054892
297	0.4030781408
298	0.400979379
299	0.3996645869
300	0.398126497
301	0.3965754042
302	0.3948749696
303	0.392818787
304	0.3913223107
305	0.3899454821
306	0.3880883673
307	0.3866077666
308	0.3850030381
309	0.3832906609
310	0.3818738264
311	0.3802831255
312	0.3791067841
313	0.3779518993
314	0.3766505501
315	0.3750235093
316	0.3738909231
317	0.3720259001
318	0.3710358529
319	0.3693573686
320	0.3676162604
321	0.3662531534
322	0.3649982903
323	0.3636937032
324	0.3621504958
325	0.3615812081
326	0.3603436704
327	0.3590542345
328	0.3573834865
329	0.3558513643
330	0.3546372565
331	0.3531180747
332	0.3514628508
333	0.3498532251
334	0.3486355068
335	0.3473378198
336	0.3460592982
337	0.3447991544
338	0.3432154379
339	0.3416822646
340	0.3401430615
341	0.3387431584
342	0.3374846232
343	0.3363766455
344	0.3350429894
345	0.3338389065
346	0.3324367822
347	0.331381071
348	0.3301723929
349	0.3294389675
350	0.3282984306
351	0.3271849544
352	0.3260436159
353	0.3250304124
354	0.3237871118
355	0.3227271064
356	0.3216732542
357	0.3203372264
358	0.3192199032
359	0.3180674208
360	0.3169933493
361	0.3159077256
362	0.3148717235
363	0.3136724269
364	0.3128078711
365	0.3118900909
366	0.3106813333
367	0.3098264059
368	0.3086430785
369	0.3072803665
370	0.3062442892
371	0.3053482127
372	0.3040205343
373	0.3030551439
374	0.3018225876
375	0.3006670777
376	0.2995893964
377	0.2985345694
378	0.2973954553
379	0.2964880055
380	0.2955845912
381	0.2948353459
382	0.2940179597
383	0.2929878038
384	0.2918776893
385	0.2907761573
386	0.2896925029
387	0.2887030463
388	0.28782762
389	0.2871699343
390	0.2862678084
391	0.2856023108
392	0.2845323617
393	0.2837069878
394	0.282908256
395	0.2819999915
396	0.2812234311
397	0.2804760666
398	0.2794812289
399	0.2785818046
400	0.2778059332
401	0.2769973774
402	0.2761847451
403	0.2752397398
404	0.274318887
405	0.2732874779
406	0.2722822255
407	0.2713477394
408	0.2705784516
409	0.2700764948
410	0.2693717101
411	0.2684228449
412	0.2677306022
413	0.266949282
414	0.2661814999
415	0.2652443651
416	0.2644829881
417	0.2635230647
418	0.2627156188
419	0.262138927
420	0.261490188
421	0.2610230257
422	0.260378034
423	0.2594992108
424	0.2585757017
425	0.2577510278
426	0.2569354153
427	0.2559076058
428	0.2552245103
429	0.254397757
430	0.2535892816
431	0.2528088495
432	0.2522029882
433	0.2515276774
434	0.2506739284
435	0.2500218898
436	0.2495043001
437	0.2489209334
438	0.2480715036
439	0.2472338038
440	0.2464457381
441	0.2457449807
442	0.2450234767
443	0.244157697
444	0.24333411
445	0.2427045082
446	0.2422678407
447	0.2416292464
448	0.2412918052
449	0.2405624942
450	0.2398303275
451	0.2390708491
452	0.2382422449
453	0.2375906413
454	0.2368914976
455	0.2361903829
456	0.2354516106
457	0.2348129932
458	0.2339957017
459	0.2332668976
460	0.2325886602
461	0.2319280198
462	0.2311913384
463	0.2304822635
464	0.2299363458
465	0.2292456788
466	0.2284522543
467	0.2279479134
468	0.2273291088
469	0.2267505414
470	0.2261058933
471	0.2256637625
472	0.2249358276
473	0.2243455783
474	0.2236587471
475	0.2229973627
476	0.2224469867
477	0.2217857334
478	0.221052184
479	0.2203289007
480	0.2196925881
481	0.2189240543
482	0.2182984714
483	0.2176775147
484	0.2173469064
485	0.2165976533
486	0.2158864874
487	0.2151881114
488	0.2145890418
489	0.2139851307
490	0.2133043844
491	0.2126196962
492	0.2119706325
493	0.2113744362
494	0.2107473011
495	0.210120863
496	0.2096147447
497	0.2090620857
498	0.2084463679
499	0.2079818539
